name,style,brewery,beer name (full),description,abv,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
samuel adams cherry wheatboston beer company (samuel adams),fruit and field beer,boston beer company (samuel adams),boston beer company (samuel adams) samuel adams cherry wheat,notes:,5.3,5,45,4,9,8,7,40,16,0,69,12,0,25,3.423668,3.514002,3.265583,3.158085,3.168925,1107
raspberry tart,fruit and field beer,new glarus brewing company,new glarus brewing company raspberry tart,"notes:treat yourself to a rare delight. the voluminous raspberry bouquet will greet you long before your lips touch your glass. serve this wisconsin framboise very cold in a champagne flute. then hold your glass to a light and enjoy the jewel-like sparkle of a very special ale. oregon proudly shares their harvest of mouth watering berries, which we ferment spontaneously in large oak vats. then we employ wisconsin farmed wheat and year old hallertau hops to round out this extravaganza of flavor.\t",4,5,45,25,32,14,7,193,90,0,137,11,4,16,4.371831,4.124648,4.19507,4.416901,4.21831,710
summer shandy,fruit and field beer,jacob leinenkugel brewing company,jacob leinenkugel brewing company leinenkugel's summer shandy,notes:,4.2,5,45,8,23,9,6,22,55,0,51,5,1,28,3.155481,3.214765,3.097315,3.002237,3.240492,447
rubæus,fruit and field beer,founders brewing company,founders brewing company founders rubæus,notes:this brew achieves its unique raspberry taste by the addition of only fresh raspberries at five seperate stages in the brewing process.\t,5.7,5,45,14,37,7,12,138,50,0,88,16,1,20,3.93543,3.895695,3.788079,3.903974,3.874172,302
wisconsin belgian red,fruit and field beer,new glarus brewing company,new glarus brewing company wisconsin belgian red,"notes:you hold the marriage of wine and beer. belgian red is a tapestry of flavor. this beer is brewed with whole montmorency cherries, wisconsin farmed wheat and belgian roasted barleys, lagered in oak tanks and balanced by hallertau hops we aged in our brewery one full year. over a pound of door county cherries in every bottle makes this beer uniquely ""wisconsin."" so unique, in fact, that we applied for a patent. expect this beer to be ruby red, with a medium body that is highly carbonated and intense with cherry flavor and bouquet. serve your friends belgian red in a brandy snifter or champagne flute and toast life with beer from the land of wisconsin.\t",4,5,45,22,34,8,9,81,67,0,137,16,6,32,4.412228,4.121671,4.227603,4.434019,4.236683,826
purple haze,fruit and field beer,abita brewing co.,abita brewing co. purple haze,"notes:experience the magic of purple haze.® clouds of real raspberries swirl in this tart and tantalizing lager inspired by the good spirits and dark mysteries of new orleans. brewed with pilsner and wheat malts along with vanguard hops, let the scent of berries in the hazy purple brew put a spell on you.\t",4.2,5,45,11,30,3,11,90,49,1,77,19,1,59,3.179059,3.251138,3.10698,3.101669,3.266313,659
hell or high watermelon wheat beer,fruit and field beer,21st amendment brewery,21st amendment brewery hell or high watermelon wheat beer,"notes:like lady liberty, we stand for independence and perseverance. in the pursuit of innovative beer, there is no obstacle too great. no journey too long. no fruit too gigantic. this american wheat beer is brewed with real watermelon, for a flavor that’s surprisingly crisp, dry and refreshing—summer in a can.17 ibu\t",4.9,5,45,31,27,9,17,66,49,5,100,37,17,63,3.116525,3.237288,3.325212,3.237288,3.388771,472
blushing monk,fruit and field beer,founders brewing company,founders brewing company founders blushing monk,"notes:when our love of fruit and our love of beer come together, blushing monk happens. brewed with a ridiculous amount of raspberries for tart yet luscious raspberry-jam character and fermented with belgian yeast for subtle fruit and spice esters. think of blushing monk as rubaeus’ older sibling – more intense, slightly larger and just a little bit more mature.\t",9.2,5,45,16,29,29,8,129,61,0,109,19,10,17,4.157568,4.19727,4.009926,4.172457,4.093052,403
ephemere (apple),fruit and field beer,unibroue,unibroue ephemere (apple),"notes:as its name suggests, ephemere is an ephemeral ale that comes and goes with the seasons. it was developed as a series to feature a seasonal fruit in a refreshing, lightly spiced white ale. the label depicts a fairy, an ephemeral spirit associated with fruits picked at the peak of ripeness during each harvest season. she first appeared in the spring of 2001 and has since been celebrated on a variety of seasonal fruit ales such as apple (brewed all year long), cranberry, blackcurrant, peach, raspberry and blueberry.the most beloved and well known of the ephemere beer series. its amazing popularity across north america has made it a year-round favourite instead of only a seasonal brew.\t",5.5,5,45,18,31,7,4,134,120,1,140,18,15,33,3.841738,3.657189,3.546674,3.587446,3.615343,932
autumn maple,fruit and field beer,the bruery,the bruery autumn maple,"notes:brewed with 17 lbs. of yams per barrel (in other words, a lot of yams!), this autumn seasonal is a different take on the ""pumpkin"" beer style. brewed with cinnamon, nutmeg, allspice, vanilla, molasses, and maple syrup, and fermented with our traditional belgian yeast strain, this bold and spicy beer is perfect on a cold autumn evening.abv: 10%, ibu: 25, srm: 15, release: fall\t",10,5,45,6,37,31,17,101,22,1,49,17,64,63,3.918794,3.767981,3.658933,3.805104,3.62993,431
thumbprint apple ale,fruit and field beer,new glarus brewing company,new glarus brewing company apple ale,notes:,4,5,45,32,34,13,8,196,173,1,152,19,21,61,4.106349,3.77619,4.030159,4.171429,4.17619,315
black & blue,fruit and field beer,dogfish head brewery,dogfish head brewery black & blue,"notes:black & blue is a belgian-style golden ale fermented with blackberries and blueberries. because we dose black & blue with real berries -- rather than artificial flavoring -- the fruit comes through in the flavor, not just the aroma.the pureed berries are added as the beer leaves the brewhouse. in fermentation, the yeast -- the same one we use in red & white and pangaea -- feeds on sugars from the barley and the berries, giving black & blue a unique complexity and a high abv.25 ibu\t",10,5,45,12,28,19,6,170,76,2,147,5,19,21,3.736486,3.865991,3.683559,3.673423,3.612613,444
cerise,fruit and field beer,founders brewing company,founders brewing company founders cerise,"notes:you’ll have a soft spot for this one. using only fresh michigan tart cherries, this beauty tantalizes with intense flavors combined with a no hesitation malt bill. adding fresh cherries at five separate stages of fermentation achieves the ultimate balance between tartness and sweetness\t",6.5,5,45,16,28,13,1,59,53,0,87,9,2,24,3.533742,3.710634,3.673824,3.752556,3.677914,489
strawberry lager,fruit and field beer,abita brewing co.,abita brewing co. strawberry harvest lager,"notes:strawberry harvest lager is a wheat beer made with real louisiana strawberries, picked late in the season when they’re at their sweetest. this brew has earned quite a reputation in a short time, causing the brewery to up their production year after year. when this brew is found, emails and phone calls fly to friends informing them of the store’s location. strawberry harvest is a crisp, light lager with just a hint of strawberry sweetness.13 ibu\t",4.2,5,45,10,20,6,8,30,13,1,69,11,7,24,3.568345,3.413669,3.435252,3.51259,3.676259,278
samuel adams cranberry lambicboston beer company (samuel adams),fruit and field beer,boston beer company (samuel adams),boston beer company (samuel adams) samuel adams cranberry lambic,notes:,5.9,5,45,15,25,7,4,89,67,0,77,4,1,35,2.931917,3.325163,2.986928,2.715686,2.67756,918
shiner ruby redbird,fruit and field beer,spoetzl brewery,spoetzl brewery shiner ruby redbird,"notes:this refreshing brew is made with juice from freshly picked texas ruby red grapefruits, the prize of the rio grande valley.a bold kick of ginger flavor combines with the tartness of the citrus for a tasty brew that's perfect anytime of year. pure two row and munich malts along with mt. hood, citra, and willamette hops give it a nicely balanced, lip-smacking finish. we like to think popping open this bottle is like slicing into a ripe texas grapefruit. so pucker up and enjoy!\t",4.01,5,45,14,19,6,21,28,80,0,79,19,27,31,3.195238,2.909524,2.980952,2.995238,3,105
tweason'ale,fruit and field beer,dogfish head brewery,dogfish head brewery tweason'ale,"notes:for our first new 12-ounce 4-packs in nearly half a decade, we replaced the classic barley foundation of beer with a mild sorghum base. the hints of molasses and pit-fruit are balanced by vibrant strawberry notes and a unique complexity that comes with the addition of a malty buckwheat honey.we believe health-conscious beer drinkers and the millions of americans who suffer from celiac disease can cut back on gluten while relishing the distinction and drinkability of this very special brew.\t",6,5,45,3,18,5,4,52,35,0,55,3,0,36,3.916667,3.458333,3.5,3.833333,3.75,12
fort,fruit and field beer,dogfish head brewery,dogfish head brewery fort,"notes:an ale brewed with a ridiculous amount of pureed raspberries (over a ton of 'em!). fort has a belgian-style base, then we follow a similar fermentation process to the one we use on our other super-high abv beers, 120 minute ipa and world wide stout.49 ibuabv varies from 15-18%.\t",18,5,45,10,27,74,9,139,41,0,89,7,5,21,3.817021,3.805319,3.594681,3.615957,3.306383,470
soft parade,fruit and field beer,short's brewing company,short's brewing company imperial soft parade,"notes:soft parade is a fruit rye ale brewed with rye flakes and loaded with pureed strawberries, blueberries, raspberries and blackberries. the rose colored ale has aromas of ripe strawberries and grain. with flavors of fresh berries and rye, soft parade finishes dry and eminently drinkable.soft parade was originally developed because joe short wanted to create a beer that incorporated a medley of berries, had a great color, and appealed to wine drinkers. the name soft parade stemmed from two moments in joe short’s life. first, because joe worked as a brewer at the traverse brewing company and the doors album, the soft parade, played every day at the end of the brew shift. the second moment occurred when joe was driving by himself, flipping through cd’s in his car, and came across the soft parade album again. at the time, the soft parade beer had not been named and it dawned on joe that the medley of fruit infusing into the golden beer reminded him of a soft parade. that day the beer was named!\t",7.5,5,45,18,60,11,5,168,68,0,154,14,6,53,4.194444,3.888889,3.805556,3.861111,4.027778,18
blue,fruit and field beer,sweetwater brewing company,sweetwater brewing company sweetwater blue,notes:,4.9,5,45,14,10,2,9,84,21,0,64,11,0,43,3.613537,3.187773,3.266376,3.30131,3.447598,229
pyramid apricot ale,fruit and field beer,"pyramid breweries, inc.","pyramid breweries, inc. audacious apricot ale",notes:originally named apricot weizen\t,5.1,5,45,12,29,8,9,96,50,0,100,16,3,47,3.609195,3.421839,3.402299,3.447126,3.483908,435
stiegl radler (grapefruit),fruit and field beer,stieglbrauerei zu salzburg gmbh,stieglbrauerei zu salzburg gmbh stiegl radler (grapefruit),notes:real grapefruit juice gives this deliciously refreshing radler (mixed beer drink) its amber natural cloudiness and pleasant tangy taste. the refreshingly fruity taste makes stiegl-radler grapefruit a wonderful thirst quencher.\t,2.25,5,45,23,18,9,16,55,87,0,96,10,3,14,3.5,3.5,3.3,3.4,3.2,5
tangerine wheat,fruit and field beer,lost coast brewery and cafe,lost coast brewery and cafe tangerine wheat,notes:,5.5,5,45,11,27,11,13,30,61,0,105,14,0,33,3.516667,3.26,3.25,3.113333,3.243333,150
cucumber saison,fruit and field beer,cigar city brewing,cigar city brewing cucumber saison,"notes:we employ the humble cucumber in a low gravity saison to create a vibrant ale with notes of melon, tropical fruit, lemongrass and, of course, cucumber. put some cucumber wheels on your eyes, relax, and enjoy. ahhhh.\t",5,5,45,43,14,8,17,21,41,3,36,21,11,13,4.5,3.75,4,4.125,4.125,4
pumpkinfest,fruit and field beer,terrapin beer company,terrapin beer company terrapin pumpkinfest,"notes:although this is a pumpkin beer, it is a lager and therefore doesn't belong in the pumpkin ale category. originally a side project, now a fall seasonal in six-packs.\t",6.1,5,45,10,24,6,5,22,13,1,71,7,82,35,3.931034,3.748276,3.713793,3.782759,3.848276,145
apricot wheat,fruit and field beer,ithaca beer company,ithaca beer company apricot wheat,notes:our smooth wheat beer is light in color and body…perfect for those looking for a lighter taste. the combination of wheat and barley gives apricot wheat a different malt character than our other ales. the hint of apricot gives this beer a pleasant nose and fruity finish.\t,4.9,5,45,13,20,11,7,99,31,0,88,13,2,56,3.34292,3.159292,3.181416,3.179204,3.280973,226
ufo raspberry hefeweizen,fruit and field beer,harpoon brewery,harpoon brewery ufo raspberry hefeweizen,"notes:we have added natural raspberry flavor to our ufo hefeweizen to create this beer. consistent with the hefeweizen style, this beer is unfiltered and cloudy with a solid foamy head. ufo raspberry has a distinctive, hazy rose color. the scent of fresh raspberries hits the nose immediately, along with a subtle bready aroma from the wheat and yeast. the body is light and the unfiltered yeast provides a soft mouthfeel. the taste of the fruit compliments the beer nicely, neither overwhelms the other. there is a faint sweetness on the palate, which finishes cleanly in a semi-dry, tart finish.10 ibu\t",4.8,5,45,19,28,10,3,122,54,1,119,10,2,33,3.736402,3.635983,3.508368,3.516736,3.587866,239
son of a peach,fruit and field beer,rj rockers brewing company,rj rockers brewing company son of a peach,notes:an unfiltered american wheat ale made with real mean peaches. the only thing missing is the fuzz. savor the anger. available during the late spring and summer months.\t,6,5,45,15,20,6,8,28,26,0,92,10,3,32,3.911765,3.607843,3.553922,3.553922,3.578431,102
bumble berry honey blueberry ale,fruit and field beer,fat heads brewery & saloon,fat heads brewery & saloon bumbleberry honey blueberry ale,"notes:brewed with fresh harvested spring honey and infused with fresh blueberries. a light, refreshing ale with a nice blueberry aroma, crackery malt flavors, a hint of sweetness and a refreshing blueberry finish.\t",5.3,5,45,22,19,7,12,143,22,6,81,19,6,77,3.875,3.75,3.583333,3.75,3.875,12
blackbeary wheat,fruit and field beer,long trail brewing co.,long trail brewing co. blackbeary wheat,"notes:this brew combines 2-row pilsen malt, a hint of crystal malt, and of course, plenty of malted wheat. a hint of blackberry at the finish makes this beer a real thirst quencher! for the health conscious, blackbeary wheat has less than 6 grams of carbs and only 110 calories per bottle!10 ibu\t",4,5,45,13,13,7,7,73,28,0,61,9,3,44,3.131068,2.94822,3.021036,2.990291,3.237864,309
raspberry ale,fruit and field beer,dark horse brewing company,dark horse brewing company dark horse raspberry ale,"notes:this beer is a light bodied, easy drinking ale. we use real raspberries late in fermentation, giving this beer a mild fruit flavor while keeping a very balanced malt profile. this may not be what some would expect from a ""fruit"" beer, but our brewers make good beer; not fruity, carbonated malt beverages. our motto is, ""beer first, fruit second"".\t",5.5,5,45,12,26,11,21,121,50,0,86,22,0,52,3.44709,3.484127,3.399471,3.312169,3.428571,189
blueberry ale,fruit and field beer,blue point brewing company,blue point brewing company blue point blueberry,notes:,4.6,5,45,8,17,4,7,79,17,0,67,10,1,24,3.870253,3.556962,3.487342,3.64557,3.721519,158
pumpkin lager,fruit and field beer,"lakefront brewery, inc.","lakefront brewery, inc. pumpkin lager beer",notes:beer brewed with pumpkin and spices\t,6,5,45,12,36,8,7,38,19,0,90,20,93,53,3.532967,3.379121,3.241758,3.318681,3.335165,182
delirium red,fruit and field beer,brouwerij huyghe,brouwerij huyghe delirium red,notes:also known as la bouffonne rouge\t,8,5,45,8,27,17,7,108,51,1,115,28,5,28,3.4,4.1,3.7,2.8,3.3,5
orange blossom cream ale,fruit and field beer,buffalo bill's brewery,buffalo bill's brewery orange blossom cream ale,"notes:a light ale with hints of fresh orange. brewed with sweet orange peel, orange blossom extract and honey.\t",5.2,5,45,12,27,8,28,46,86,0,86,35,5,30,3.21021,3.013514,2.953453,2.93994,2.98048,333
pugsley's signature series: smashed blueberry,fruit and field beer,shipyard brewing co.,shipyard brewing co. shipyard smashed blueberry (pugsley's signature series),notes:,9,5,45,13,87,26,43,171,16,0,102,26,5,109,4.072917,4.057292,3.890625,4.046875,4.005208,96
fraoch heather ale,gruit / ancient herbed ale,williams brothers brewing company,williams brothers brewing company fraoch heather ale,"notes:brewed in scotland since 2000 b.c. heather ale is probably the oldest style of ale still produced in the world. from an ancient gaelic recipe for ""leann fraoich"" (heather ale) it has been revived and reintroduced to the scottish culture. into the boiling bree of malted barley, sweet gale and flowering heather are added, then after cooling slightly the hot ale is poured into a vat of fresh heather flowers where it infuses for an hour before being fermented.\t",5,0,0,23,27,9,18,58,20,0,16,98,30,55,3.734679,3.582212,3.622571,3.778774,3.787743,669
alba scots pine ale,gruit / ancient herbed ale,williams brothers brewing company,williams brothers brewing company alba scots pine ale,"notes:introduced by the vikings, spruce and pine ales were very popular in the scottish highlands until the end of the 19th century. many early explorers, including captain cook, used spruce ale during long sea voyages since it prevented scurvy and ill health. shetland spruce ale was said to ""stimulate animal instincts"" and give you twins. alba is a triple style ale brewed to a traditional highland recipe from scots pine and spruce shoots pickled during early spring. pure malted barley, is boiled with the young sprigs of pine for several hours then the fresh shoots of the spruce are added for a short infusion before fermentation.\t",7.5,0,0,13,46,30,26,77,33,0,44,110,12,51,3.797357,3.687225,3.721366,3.80837,3.665198,454
ebulum elderberry black ale,gruit / ancient herbed ale,williams brothers brewing company,williams brothers brewing company ebulum elderberry black ale,"notes:introduced to scotland by welsh druids in the 9th century, elderberry black ale was part of the celtic autumn festivals when the ""elders"" would make this strong ale and pass the drink round the people of the village. the recipe was taken from a 16th century record of domestic drinking in the scottish highlands. elderberries were used for many natural remedies to cure sciatica, other forms of neuralgia, influenza and rhumatism as they contain tannins and fruit oils. ebulum is made from roasted oats, barley and wheat boiled with herbs then fermented with ripe elderberries.\t",6.5,0,0,22,63,17,42,95,47,0,92,73,17,96,3.797376,3.784257,3.705539,3.83965,3.741983,343
grozet,gruit / ancient herbed ale,williams brothers brewing company,williams brothers brewing company grozet gooseberry & wheat ale,"notes:from the gaelic ""groseid"", since at least the 16th century scots monks and alewives brewed indigenous drinks from cereals, wild herbs and ripe fruits. tibbie shiels green grozet was immortalised by such scots literati as sir walter scott, jas hogg. (the ettrick shepherd) and robert burns whoconsidered it a most convivial drink. brewed with lager malt, wheat, bog myrtle, hops and meadowsweet then secondary fermented with ripe scottish gooseberries.\t",5,0,0,35,32,14,32,93,67,2,79,67,10,58,3.530744,3.404531,3.478964,3.555016,3.605178,309
kelpie seaweed ale,gruit / ancient herbed ale,williams brothers brewing company,williams brothers brewing company kelpie seaweed ale,"notes:at least four hundred years ago, the coastal & island farmers of scotland used seaweed beds to grow their cereal crops. this barley produced very interesting flavors in the ale and whiskey they produced. including bladderwrack seaweed in the mash tun along with organic barley gives this wholesome dark ale a distinctive flavor.\t",4.4,0,0,15,79,7,27,57,10,24,14,28,7,105,3.704887,3.778195,3.522556,3.676692,3.691729,266
13th century grut bier,gruit / ancient herbed ale,professor fritz briem,professor fritz briem professor fritz briem 13th century grut bier,"notes:created by dr. fritz briem of doemens institute ( http://www.doemens.org ), brewed by weihenstephan & doemens.\t",4.6,0,0,30,28,18,32,22,55,0,46,133,79,16,3.979339,3.578512,3.752066,3.85124,3.652893,121
posca rustica,gruit / ancient herbed ale,brasserie dupont sprl,brasserie dupont sprl posca rustica,notes:,8,0,0,21,57,30,42,71,75,1,81,131,66,36,3.972222,4.041667,3.972222,4.069444,4.013889,36
koyt,gruit / ancient herbed ale,jopen bier bv haarlem,jopen bier bv haarlem jopen koyt,"notes:jopen koyt is a gruitbeer (herb beer) that is brewed according to the bierkeur (city recipe) from 1407. the beer is brewed with malted barley, malted wheat and oats and has a malty taste with a smooth herbal finish. the aroma has a hint of herbs and spices mixed with dark malt. jopen koyt is the only gruitbeer from the netherlands. gold medal winner at the european beerstar competition in 2009 and a silver medal at the european beerstar competition in 2011.\t",8.5,0,0,7,52,18,22,80,23,0,37,86,44,88,4.097561,3.902439,3.926829,4.060976,3.890244,41
bog water,gruit / ancient herbed ale,beau's all natural brewing company,beau's all natural brewing company bogwater,"notes:malty, with a plum-like fruitiness that is offset by spicy, earthy bitterness.\t",6.6,0,0,15,37,22,36,106,53,0,69,98,51,67,3.775,3.475,3.35,3.675,3.575,20
working for tips,gruit / ancient herbed ale,moonlight brewing company,moonlight brewing company working for tips,notes:,5.5,0,0,15,61,8,50,45,10,0,13,85,25,76,3.882353,3.911765,3.823529,4.176471,3.794118,17
weekapaug gruit,gruit / ancient herbed ale,magnolia pub & brewery,magnolia pub & brewery weekapaug gruit,"notes:discovery your inner viking with our ever-changing unhopped fruit ale. combining gentian and angelica root, cherry bark, yarrow, elderberries and dandelion greens, it is a distinctly unique beer from an ancient brewing tradition.\t",5.8,0,0,4,23,9,12,24,16,0,24,74,35,20,4.375,4,4.1875,4.4375,4.25,8
blessed thistle,gruit / ancient herbed ale,"cairngorm brewery company, the","cairngorm brewery company, the blessed thistle","notes:truly unique. a reddish brown ale that is primarily bittered with ""blessed thistle"". the late addition of goldings hops and ginger add to the flavours of this most complex of beers.\t",4.5,0,0,9,23,2,33,36,9,0,10,58,18,41,3.6875,3.8125,3.625,3.625,3.6875,8
heather ale,gruit / ancient herbed ale,kuhnhenn brewing company,kuhnhenn brewing company kuhnhenn heather ale,notes:,4.75,0,0,6,14,1,7,12,13,0,7,24,1,16,3.571429,3.428571,3.5,3.357143,3.285714,7
artemis,gruit / ancient herbed ale,moonlight brewing company,moonlight brewing company artemis,notes:,5.5,0,0,1,7,3,6,4,3,0,0,16,9,4,3.142857,3.714286,3.071429,2.714286,2.428571,7
two weeks notice,gruit / ancient herbed ale,moonlight brewing company,moonlight brewing company two weeks notice,notes:,5.3,0,0,3,7,3,7,1,8,2,10,35,5,9,4.142857,3.5,3.714286,3.714286,3.785714,7
la clef des champs,gruit / ancient herbed ale,brasserie dieu du ciel,brasserie dieu du ciel la clef des champs,notes:,5,0,0,1,4,1,2,3,1,0,1,17,1,11,4.5,3,3.5,3.5,3.5,1
gothic ale,gruit / ancient herbed ale,triumph brewing company,triumph brewing company gothic ale,notes:,4.8,0,0,4,14,4,7,13,8,0,5,28,12,11,3.55,3.8,3.5,3.7,3.35,10
andromeda heather ale,gruit / ancient herbed ale,dragonmead microbrewery,dragonmead microbrewery dragonmead andromeda ale,"notes:dragonmead uses heather tips imported from scotland to create this unusual brew. its malty sweet aroma does not disappoint. chocolate malt imparts a great deal of the flavor of this beer but does not over-power the finish, which is defined by the powdery dryness of the heather. all in all, a malty brew with a very clean finish.\t",4.6,0,0,9,9,2,3,15,4,0,7,8,2,21,3.25,3.583333,3.25,3.583333,3.583333,6
reggae junkie,gruit / ancient herbed ale,upright brewing company,upright brewing company reggae junkie,notes:,5.2,0,0,6,8,1,1,4,15,0,5,8,4,3,4.333333,3.666667,4,4,4.166667,3
kirin tanrei,happoshu,"kirin brewery company, limited","kirin brewery company, limited kirin tanrei",notes:,5.5,0,0,24,44,10,18,38,16,2,14,23,0,85,2.727273,3.242424,2.757576,2.666667,2.969697,33
kinmugi (rich malt),happoshu,suntory,suntory suntory rich malt,notes:,5,0,0,12,16,3,15,15,12,0,9,21,5,29,3.833333,3.166667,3.666667,3.5,3.833333,3
clear sakura beer,happoshu,asahi breweries ltd,asahi breweries ltd clear asahi,notes:,5,0,0,4,13,3,6,12,5,0,5,10,0,26,2.75,2.25,3.5,3.5,3.75,2
asahi honnama red,happoshu,asahi breweries ltd,asahi breweries ltd asahi honnama red,notes:,5.5,0,0,13,16,5,11,16,1,0,0,11,0,38,2.722222,3.055556,2.638889,2.583333,3,18
kirin tanrei green label,happoshu,"kirin brewery company, limited","kirin brewery company, limited kirin tanrei green label",notes:,4.5,0,0,2,9,3,4,7,6,0,5,7,1,22,1.875,3.125,2.125,2.25,3,4
asahi honnama aqua blue,happoshu,asahi breweries ltd,asahi breweries ltd asahi honnama aqua blue,notes:,5,0,0,7,7,2,2,2,6,0,3,4,2,11,1.571429,1.571429,1.285714,1.214286,1.857143,7
orion mugi shokunin,happoshu,"orion beer co., ltd.","orion beer co., ltd. orion mugi shokunin",notes:,5.5,0,0,3,7,1,9,8,1,0,1,10,0,10,3,3.5,3,3,3,1
sapporo draft one,happoshu,sapporo breweries ltd.,sapporo breweries ltd. sapporo draft one,notes:,5,0,0,4,10,7,6,17,13,0,9,9,1,15,1.642857,1.857143,2.071429,1.785714,2.071429,7
kinshachi nagoya red miso lager,happoshu,land beer,land beer kinshachi nagoya red miso lager,notes:,6,0,0,3,17,7,8,25,5,1,5,9,1,35,3.416667,3.666667,3.333333,3.75,3.916667,6
orion southern star,happoshu,"orion beer co., ltd.","orion beer co., ltd. orion southern star",notes:,5.5,0,0,0,4,2,3,3,3,0,4,4,1,3,2.5,2.5,2.75,2.75,2.5,2
kirin enjuku,happoshu,"kirin brewery company, limited","kirin brewery company, limited kirin enjuku",notes:,6,0,0,8,14,1,8,9,4,0,2,12,0,18,2.888889,3.333333,3.166667,3.166667,3.5,9
helios goya dry,happoshu,"helios distillery co., ltd.","helios distillery co., ltd. helios goya dry",notes:,5,0,0,6,7,3,13,8,6,0,6,14,5,7,4.25,4,4.25,4.25,4.75,2
asahi honnama gold,happoshu,asahi breweries ltd,asahi breweries ltd asahi honnama gold,notes:,5.5,0,0,0,2,1,4,3,0,0,1,4,0,4,3.666667,3,3.333333,3.333333,3.333333,3
kirin nodogoshi,happoshu,"kirin brewery company, limited","kirin brewery company, limited kirin nodogoshi",notes:,5,0,0,0,2,1,1,3,0,0,0,2,0,5,3.25,3.5,3.5,2.25,3.25,2
kirin shirokirin,happoshu,"kirin brewery company, limited","kirin brewery company, limited kirin shirokirin",notes:,5.5,0,0,1,3,0,1,0,0,0,0,1,0,2,2.75,2.75,3.25,2.5,3.75,2
jokki (jug nama),happoshu,suntory,suntory jokki (jug nama),notes:,5,0,0,3,6,2,2,10,3,1,1,2,0,4,2.125,2.875,2.375,2,2.375,4
asahi shinnama,happoshu,asahi breweries ltd,asahi breweries ltd asahi shinnama,notes:,5,0,0,3,4,2,4,1,1,0,1,4,0,6,2,2.5,2,2.166667,2.166667,3
kirin enjuku kuro,happoshu,"kirin brewery company, limited","kirin brewery company, limited kirin enjuku kuro",notes:,6,0,0,2,7,1,2,9,0,0,0,2,0,21,2.9,3,3,3.1,3.6,5
honkaku karakuchi mugi,happoshu,"kirin brewery company, limited","kirin brewery company, limited honkaku karakuchi mugi",notes:,5,0,0,11,9,2,5,3,2,0,2,4,0,8,3.5,3,3,3,4,1
sapporo mugi to hopppu (trans. barley and hop),happoshu,sapporo breweries ltd.,sapporo breweries ltd. sapporo mugi to hopppu (trans. barley and hop),notes:,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3,3,3,4.5,1
asahi strong off,happoshu,asahi breweries ltd,asahi breweries ltd asahi strong off,notes:,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3.5,3,4,1
orion nangoku monogatari,happoshu,"orion beer co., ltd.","orion beer co., ltd. orion nangoku monogatari",notes:,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3,3,2.5,3,1
akiraku,happoshu,suntory,suntory akiraku,notes:,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3,4,4.5,4,1
midas touch,herb and spice beer,dogfish head brewery,dogfish head brewery midas touch golden elixir,"notes:this sweet yet dry beer is made with ingredients found in 2,700-year-old drinking vessels from the tomb of king midas. somewhere between wine and mead, midas will please the chardonnay and beer drinker alike.12 ibu\t",9,5,40,18,33,11,15,128,42,1,77,31,13,62,3.74843,3.700977,3.723308,3.792394,3.56141,1433
chateau jiahu,herb and spice beer,dogfish head brewery,dogfish head brewery chateau jiahu,"notes:let's travel back in time again for another dogfish head ancient ale (midas touch was our first foray and theobroma our most recent). our destination is 9,000 years ago, in northern china! preserved pottery jars found in the neolithic villiage of jiahu, in henan province, have revealed that a mixed fermented beverage of rice, honey and fruit was being produced that long ago, right around the same time that barley beer and grape wine were beginning to be made in the middle east!fast forward to 2005. molecular archaeologist dr. patrick mcgovern of the university of pennsylvania museum of archaeology and anthropology calls on dogfish head to re-create another ancient beverage, and chateau jiahu is born.in keeping with historic evidence, dogfish brewers use brown rice syrup, orange blossom honey, muscat grape, barley malt and hawthorn berry. the wort is fermented for about a month with sake yeast until the beer is ready for packaging.10 ibu\t",10,5,40,16,24,33,12,145,68,0,96,23,8,64,3.836345,3.736948,3.796185,3.899598,3.710843,498
good juju,herb and spice beer,left hand brewing company,left hand brewing company good juju (ginger ale),notes:,4.5,5,40,6,18,4,16,23,15,2,15,19,81,43,3.479365,3.461905,3.320635,3.344444,3.380952,315
juniper pale ale,herb and spice beer,rogue ales,rogue ales juniper pale ale,"notes:10 ingredients:malts: northwest harrington, crystal,triumph, maier munich & c-15.hops: styrian golding & amarillo.specialty: juniper berries. rogue' s yeast & water: rogue's pacman yeast & free range coastal water.13º plato34 ibu77 aa3º lovibond\t",5.3,5,40,10,30,11,53,44,37,4,58,80,13,55,3.605634,3.739437,3.726135,3.707355,3.783255,639
agave wheat,herb and spice beer,breckenridge brewery,breckenridge brewery agave wheat,"notes:agave complements the refreshingly light quality of our wheat and adds a subtle note of flavor that expands this beer’s uplifting taste profile. it is familiar, yet creative.\t",4.2,5,40,37,23,27,4,33,29,2,25,16,5,56,3.26129,3.53871,3.454839,3.409677,3.506452,155
